"area","source_file","key","plural_category","plural_category_required_for_locales","english_source","context","placeholders_keep_exact","glossary_terms_to_review","current_de","current_es","current_fr","current_ja","current_ko","current_pl","current_pt-br","current_pt-pt","current_ru","current_zh-cn","current_zh-tw"
"manifest","package.nls.json","intelligit","","","IntelliGit","VS Code extension manifest metadata.","","IntelliGit","IntelliGit","IntelliGit","IntelliGit","IntelliGit","IntelliGit","IntelliGit","IntelliGit","IntelliGit","IntelliGit","IntelliGit","IntelliGit"
"manifest","package.nls.json","extension.description","","","IntelliJ-style Git UI for VS Code with commit graph, commit details, shelf workflow, and file change explorer.","VS Code Marketplace/extension description.","","VS Code; Git; commit; shelf","Git-Benutzeroberfläche im IntelliJ-Stil für VS Code mit Commit-Graph, Commit-Details, Shelf-Workflow und Dateiänderungs-Explorer.","Interfaz Git estilo IntelliJ para VS Code con gráfico de commits, detalles de commit, flujo de shelf y explorador de cambios de archivos.","Interface Git de style IntelliJ pour VS Code avec graphe des commits, détails des commits, flux de shelf et explorateur des changements de fichiers.","コミットグラフ、コミット詳細、シェルフワークフロー、ファイル変更エクスプローラーを備えた、VS Code 向けの IntelliJ スタイル Git UI。","커밋 그래프, 커밋 세부 정보, 셸프 워크플로 및 파일 변경 탐색기를 제공하는 VS Code용 IntelliJ 스타일 Git UI입니다.","Interfejs Git w stylu IntelliJ dla VS Code z grafem commitów, szczegółami commitów, przepływem shelf i eksploratorem zmian plików.","Interface Git no estilo IntelliJ para VS Code com gráfico de commits, detalhes de commit, fluxo de shelf e explorador de alterações de arquivos.","Interface Git ao estilo IntelliJ para VS Code com gráfico de commits, detalhes de commit, fluxo de shelf e explorador de alterações de ficheiros.","Интерфейс Git в стиле IntelliJ для VS Code с графом коммитов, сведениями о коммитах, рабочим процессом shelf и обозревателем изменений файлов.","适用于 VS Code 的 IntelliJ 风格 Git UI，包含提交图、提交详情、搁置工作流和文件更改浏览器。","適用於 VS Code 的 IntelliJ 風格 Git UI，包含提交圖、提交詳細資料、擱置工作流程和檔案變更瀏覽器。"
"manifest","package.nls.json","view.commit","","","Commit","VS Code view title.","","Commit","Commit","Commit","Commit","コミット","커밋","Commit","Commit","Commit","Коммит","提交","提交"
"manifest","package.nls.json","view.graph","","","Graph","VS Code view title.","","","Graph","Gráfico","Graphe","グラフ","그래프","Graf","Gráfico","Gráfico","Граф","图","圖表"
"manifest","package.nls.json","view.mergeConflicts","","","Merge Conflicts","VS Code view title.","","Merge","Merge-Konflikte","Conflictos de fusión","Conflits de fusion","マージ競合","병합 충돌","Konflikty scalania","Conflitos de merge","Conflitos de merge","Конфликты слияния","合并冲突","合併衝突"
"manifest","package.nls.json","command.showGitLog","","","Show Git Log","VS Code command palette/menu command label.","","Git","Git-Protokoll anzeigen","Mostrar registro de Git","Afficher le journal Git","Git ログを表示","Git 로그 표시","Pokaż dziennik Git","Mostrar log do Git","Mostrar registo do Git","Показать журнал Git","显示 Git 日志","顯示 Git 記錄"
"manifest","package.nls.json","command.undock","","","Undock...","VS Code command palette/menu command label.","","","Abdocken...","Desacoplar...","Détacher...","ドッキング解除...","도킹 해제...","Oddokuj...","Desencaixar...","Desencaixar...","Отстыковать...","取消停靠...","取消停駐..."
"manifest","package.nls.json","command.dockIntelliGit","","","Dock IntelliGit","VS Code command palette/menu command label.","","IntelliGit","IntelliGit andocken","Acoplar IntelliGit","Attacher IntelliGit","IntelliGit をドッキング","IntelliGit 도킹","Zadokuj IntelliGit","Encaixar IntelliGit","Encaixar IntelliGit","Пристыковать IntelliGit","停靠 IntelliGit","停駐 IntelliGit"
"manifest","package.nls.json","command.refresh","","","Refresh","VS Code command palette/menu command label.","","","Aktualisieren","Actualizar","Actualiser","再読み込み","새로 고침","Odśwież","Atualizar","Atualizar","Обновить","刷新","重新整理"
"manifest","package.nls.json","command.filterByBranch","","","Filter by Branch","VS Code command palette/menu command label.","","Branch","Nach Branch filtern","Filtrar por rama","Filtrer par branche","ブランチでフィルター","브랜치로 필터링","Filtruj według gałęzi","Filtrar por branch","Filtrar por ramo","Фильтровать по ветке","按分支筛选","依分支篩選"
