area,source_file,key,plural_category,plural_category_required_for_locales,english_source,context,placeholders_keep_exact,glossary_terms_to_review,current_de,current_es,current_fr,current_ja,current_ko,current_pl,current_pt-br,current_pt-pt,current_ru,current_zh-cn,current_zh-tw
manifest,package.nls.json,intelligit,,,IntelliGit,VS Code extension manifest metadata.,,IntelliGit,IntelliGit,IntelliGit,IntelliGit,IntelliGit,인텔리깃,IntelliGit,IntelliGit,IntelliGit,IntelliGit,IntelliGit,IntelliGit
manifest,package.nls.json,extension.description,,,"IntelliJ-style Git UI for VS Code with commit graph, commit details, shelf workflow, and file change explorer.",VS Code Marketplace/extension description.,,VS Code; Git; commit; shelf,"Git-Benutzeroberfläche im IntelliJ-Stil für VS Code mit Commit-Graph, Commit-Details, Shelf-Workflow und Dateiänderungs-Explorer.","IU de Git estilo IntelliJ para VS Code con gráfico de commits, detalles de commits, flujo de shelf y explorador de cambios de archivos.","Interface Git de style IntelliJ pour VS Code avec graphe de commits, détails de commits, workflow de mise de côté et explorateur de changements de fichiers.",コミットグラフ、コミット詳細、シェルフワークフロー、ファイル変更エクスプローラーを備えた VS Code 向け IntelliJ スタイルの Git UI。,"커밋 그래프, 커밋 세부 정보, 보류 워크플로, 파일 변경 탐색기를 제공하는 VS Code용 IntelliJ 스타일 Git UI입니다.","Interfejs Git w stylu IntelliJ dla VS Code z grafem commitów, szczegółami commitów, workflow odkładania zmian i eksploratorem zmian plików.","Interface Git no estilo IntelliJ para VS Code com gráfico de commits, detalhes de commits, fluxo de shelf e explorador de alterações de arquivos.","Interface Git ao estilo IntelliJ para VS Code com gráfico de commits, detalhes de commits, fluxo de shelf e explorador de alterações de ficheiros.","Git-интерфейс в стиле IntelliJ для VS Code с графом коммитов, сведениями о коммитах, workflow отложенных изменений и обозревателем изменений файлов.",适用于 VS Code 的 IntelliJ 风格 Git UI，包含提交图、提交详情、搁置工作流和文件更改浏览器。,適用於 VS Code 的 IntelliJ 風格 Git UI，包含提交圖、提交詳情、擱置工作流程和檔案變更瀏覽器。
manifest,package.nls.json,view.commit,,,Commit,VS Code view title.,,Commit,Commit,Commit,Commit,コミット,커밋,Commit,Commit,Commit,Коммит,提交,提交
manifest,package.nls.json,view.graph,,,Graph,VS Code view title.,,,Graph,Gráfico,Graphique,グラフ,그래프,Wykres,Gráfico,Gráfico,График,图形,圖形
manifest,package.nls.json,view.worktrees,,,Worktrees,VS Code view title.,,Git,Worktrees,Árboles de trabajo,Worktrees,ワークツリー,워크트리,Drzewa robocze,Árvores de trabalho,Árvores de trabalho,Рабочие деревья,工作树,工作樹
manifest,package.nls.json,view.mergeConflicts,,,Merge Conflicts,VS Code view title.,,Merge,Zusammenführungskonflikte,Fusionar conflictos,Conflits de fusion,マージの競合,병합 충돌,Scalanie konfliktów,Conflitos de mesclagem,Conflitos de mesclagem,Конфликты слияния,合并冲突,合併衝突
manifest,package.nls.json,command.showGitLog,,,Show Git Log,VS Code command palette/menu command label.,,Git,Git-Protokoll anzeigen,Mostrar registro de Git,Afficher le journal Git,Gitログを表示,Git 로그 보기,Pokaż dziennik Git,Exibir registro do Git,Exibir registro do Git,Показать лог Git,显示 Git 日志,顯示 Git 日誌
manifest,package.nls.json,command.undock,,,Undock...,VS Code command palette/menu command label.,,,Abdocken...,Desacoplar...,Détacher...,ドッキング解除...,도킹 해제...,Oddokuj...,Desencaixar...,Desencaixar...,Открепить...,取消停靠...,取消停靠...
manifest,package.nls.json,command.dockIntelliGit,,,Dock IntelliGit,VS Code command palette/menu command label.,,IntelliGit,IntelliGit andocken,Dock IntelliGit,Dock IntelliGit,ドック IntelliGit,IntelliGit 도킹,Dock IntelliGit,Dock IntelliGit,Dock IntelliGit,Прикрепить IntelliGit,停靠 IntelliGit,停靠 IntelliGit
manifest,package.nls.json,command.refresh,,,Refresh,VS Code command palette/menu command label.,,,Aktualisieren,Refrescar,Rafraîchir,更新,새로 고치다,Odświeżać,Atualizar,Atualizar,Обновить,刷新,重新整理
